TIME      XPOSITION      ZPOSITION      XVELOCITIY     ZVELOCITIY     XLINEAR        ZLINEAR        ORIENTATION    ROTATION       ANGULAR        
0.00      0.00000        60.00000       8.00000        2.00000        0.00000        1.00000        0.00000        0.00000        0.10000        
0.25      2.00000        60.53125       8.00000        2.25000        -0.04500       -0.45398       0.00000        0.02500        0.10000        
0.50      3.99859        61.07956       7.98875        2.13650        -0.08997       -0.45810       -3.04279       0.05000        0.10000        
0.75      5.99297        61.59937       7.96626        2.02198        -0.13484       -0.46200       -2.94766       0.07500        0.10000        
1.00      7.98032        62.09043       7.93255        1.90648        -0.17956       -0.46568       -2.85761       0.10000        0.10000        
1.25      9.95785        62.55250       7.88766        1.79006        -0.22405       -0.46914       -2.77358       0.12500        0.10000        
1.50      11.92276       62.98535       7.83165        1.67278        -0.26826       -0.47239       -2.69604       0.15000        0.10000        
1.75      13.87229       63.38878       7.76458        1.55468        -0.31213       -0.47542       -2.62512       0.17500        0.10000        
2.00      15.80368       63.76260       7.68655        1.43582        -0.35558       -0.47822       -2.56064       0.20000        0.10000        
2.25      17.71420       64.10661       7.59765        1.31627        -0.39857       -0.48080       -2.50223       0.22500        0.10000        
2.50      19.60116       64.42065       7.49801        1.19607        -0.44103       -0.48315       -2.44943       0.25000        0.10000        
2.75      21.46188       64.70457       7.38775        1.07528        -0.48289       -0.48528       -2.40175       0.27500        0.10000        
3.00      23.29373       64.95822       7.26703        0.95396        -0.52411       -0.48719       -2.35866       0.30000        0.10000        
3.25      25.09411       65.18149       7.13600        0.83216        -0.56462       -0.48886       -2.31970       0.32500        0.10000        
3.50      26.86046       65.37425       6.99485        0.70995        -0.60436       -0.49031       -2.28441       0.35000        0.10000        
3.75      28.59029       65.53642       6.84376        0.58737        -0.64328       -0.49152       -2.25238       0.37500        0.10000        
4.00      30.28113       65.66790       6.68294        0.46449        -0.68133       -0.49251       -2.22325       0.40000        0.10000        
4.25      31.93057       65.76863       6.51261        0.34136        -0.71844       -0.49326       -2.19671       0.42500        0.10000        
4.50      33.53627       65.83855       6.33300        0.21805        -0.75457       -0.49379       -2.17246       0.45000        0.10000        
4.75      35.09594       65.87763       6.14436        0.09460        -0.78966       -0.49408       -2.15026       0.47500        0.10000        
5.00      36.60735       65.88584       5.94694        -0.02892       -0.82367       -0.49414       -2.12989       0.50000        0.10000        
5.25      38.06835       65.86317       5.74102        -0.15246       -0.85654       -0.49397       -2.11117       0.52500        0.10000        
5.50      39.47684       65.80962       5.52689        -0.27595       -0.88823       -0.49357       -2.09391       0.55000        0.10000        
5.75      40.83080       65.72520       5.30483        -0.39934       -0.91869       -0.49294       -2.07799       0.57500        0.10000        
6.00      42.12830       65.60996       5.07516        -0.52258       -0.94789       -0.49207       -2.06327       0.60000        0.10000        
6.25      43.36747       65.46394       4.83819        -0.64560       -0.97577       -0.49098       -2.04963       0.62500        0.10000        
6.50      44.54653       65.28720       4.59424        -0.76834       -1.00230       -0.48965       -2.03698       0.65000        0.10000        
6.75      45.66377       65.07981       4.34367        -0.89076       -1.02743       -0.48810       -2.02523       0.67500        0.10000        
7.00      46.71758       64.84187       4.08681        -1.01278       -1.05115       -0.48631       -2.01430       0.70000        0.10000        
7.25      47.70643       64.57347       3.82403        -1.13436       -1.07339       -0.48430       -2.00412       0.72500        0.10000        
7.50      48.62889       64.27475       3.55568        -1.25543       -1.09415       -0.48206       -1.99464       0.75000        0.10000        
7.75      49.48362       63.94583       3.28214        -1.37595       -1.11338       -0.47959       -1.98579       0.77500        0.10000        
8.00      50.26936       63.58685       3.00379        -1.49585       -1.13106       -0.47690       -1.97753       0.80000        0.10000        
8.25      50.98497       63.19799       2.72103        -1.61507       -1.14716       -0.47398       -1.96982       0.82500        0.10000        
8.50      51.62938       62.77941       2.43424        -1.73357       -1.16166       -0.47085       -1.96261       0.85000        0.10000        
