PATH      TIME      XPOSITION      ZPOSITION      XVELOCITIY     ZVELOCITIY     XLINEAR        ZLINEAR        ORIENTATION    ROTATION       ANGULAR        
1         0.00      -90.00000      60.00000       0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        
2         0.00      75.00000       -10.00000      0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        
1         0.25      -90.00000      60.00000       0.00000        0.00000        0.59087        -0.80677       0.00000        0.00000        0.00000        
2         0.25      75.00000       -10.00000      0.00000        0.00000        -0.31623       -0.94868       0.00000        0.00000        0.00000        
1         0.50      -90.00000      60.00000       0.14772        -0.20169       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         0.50      75.00000       -10.00000      -0.07906       -0.23717       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         0.75      -89.96307      59.94958       0.29544        -0.40338       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         0.75      74.98023       -10.05929      -0.15811       -0.47434       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         1.00      -89.88921      59.84873       0.44315        -0.60507       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         1.00      74.94070       -10.17788      -0.23717       -0.71151       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         1.25      -89.77843      59.69746       0.59087        -0.80677       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         1.25      74.88141       -10.35576      -0.31623       -0.94868       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         1.50      -89.63071      59.49577       0.73859        -1.00846       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         1.50      74.80235       -10.59293      -0.39528       -1.18585       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         1.75      -89.44606      59.24366       0.88631        -1.21015       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         1.75      74.70353       -10.88939      -0.47434       -1.42303       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         2.00      -89.22449      58.94112       1.03402        -1.41184       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         2.00      74.58495       -11.24515      -0.55340       -1.66020       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         2.25      -88.96598      58.58817       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         2.25      74.44659       -11.66020      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         2.50      -88.67055      58.18478       1.32946        -1.81522       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         2.50      74.28848       -12.13454      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         2.75      -88.33818      57.73098       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         2.75      74.13037       -12.60888      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         3.00      -88.04275      57.32760       1.32946        -1.81522       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         3.00      73.97226       -13.08322      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         3.25      -87.71038      56.87379       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         3.25      73.81415       -13.55756      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         3.50      -87.41495      56.47041       1.32946        -1.81522       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         3.50      73.65604       -14.03190      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         3.75      -87.08258      56.01661       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         3.75      73.49792       -14.50624      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         4.00      -86.78715      55.61322       1.32946        -1.81522       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         4.00      73.33981       -14.98059      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         4.25      -86.45478      55.15942       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         4.25      73.18170       -15.45493      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         4.50      -86.15935      54.75603       1.32946        -1.81522       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         4.50      73.02359       -15.92927      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         4.75      -85.82698      54.30223       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         4.75      72.86548       -16.40361      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         5.00      -85.53155      53.89885       1.32946        -1.81522       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         5.00      72.70737       -16.87795      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         5.25      -85.19918      53.44504       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         5.25      72.54926       -17.35229      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         5.50      -84.90375      53.04166       1.32946        -1.81522       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         5.50      72.39114       -17.82664      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         5.75      -84.57138      52.58785       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         5.75      72.23303       -18.30098      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         6.00      -84.27595      52.18447       1.32946        -1.81522       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         6.00      72.07492       -18.77532      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         6.25      -83.94358      51.73066       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         6.25      71.91681       -19.24966      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         6.50      -83.64815      51.32728       1.32946        -1.81522       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         6.50      71.75870       -19.72401      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         6.75      -83.31578      50.87347       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         6.75      71.60059       -20.19835      -0.63246       -1.89737       -0.31623       -0.94868       -2.81984       0.00000        0.00000        
1         7.00      -83.02035      50.47009       1.32946        -1.81522       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         7.00      71.44247       -20.67269      -0.63246       -1.89736       -0.99990       0.01448        -2.81984       0.00000        0.00000        
1         7.25      -82.68798      50.01628       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         7.25      71.28436       -21.14703      -0.88243       -1.89374       -0.99969       0.02477        -1.55631       0.00000        0.00000        
1         7.50      -82.39255      49.61290       1.32946        -1.81522       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         7.50      71.06375       -21.62046      -1.13236       -1.88755       -0.99938       0.03516        -1.54602       0.00000        0.00000        
1         7.75      -82.06018      49.15909       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         7.75      70.78066       -22.09235      -1.38220       -1.87876       -0.99896       0.04566        -1.53563       0.00000        0.00000        
1         8.00      -81.76475      48.75571       1.32946        -1.81522       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         8.00      70.43511       -22.56204      -1.63194       -1.86735       -0.99841       0.05630        -1.52512       0.00000        0.00000        
1         8.25      -81.43238      48.30190       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         8.25      70.02713       -23.02888      -1.88155       -1.85327       -0.99775       0.06712        -1.51447       0.00000        0.00000        
1         8.50      -81.13695      47.89852       1.32946        -1.81522       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         8.50      69.55674       -23.49220      -1.51502       -1.30565       -0.99694       0.07814        -1.50363       0.00000        0.00000        
1         8.75      -80.80458      47.44471       1.18174        -1.61353       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         8.75      69.17799       -23.81861      -1.76425       -1.28612       -0.99629       0.08612        -1.49258       0.00000        0.00000        
1         9.00      -80.50915      47.04133       1.32946        -1.81522       0.59087        -0.80677       2.50945        0.00000        0.00000        
2         9.00      68.73692       -24.14014      -1.69363       -1.06378       -0.99555       0.09424        -1.48457       0.00000        0.00000        
1         9.25      -80.17678      46.58753       1.18174        -1.61353       0.86400        0.50349        2.50945        0.00000        0.00000        
2         9.25      68.31351       -24.40608      -1.94251       -1.04022       -0.99487       0.10120        -1.47642       0.00000        0.00000        
1         9.50      -79.88135      46.18415       1.39774        -1.48766       0.85856        0.51271        1.04317        0.00000        0.00000        
2         9.50      67.82789       -24.66614      -1.81479       -0.84056       -0.99412       0.10831        -1.46942       0.00000        0.00000        
1         9.75      -79.53191      45.81223       1.61238        -1.35948       0.85300        0.52191        1.03246        0.00000        0.00000        
2         9.75      67.37419       -24.87628      -1.86061       -0.73357       -0.99344       0.11432        -1.46227       0.00000        0.00000        
1         10.00     -79.12881      45.47236       1.82563        -1.22901       0.84730        0.53112        1.02171        0.00000        0.00000        
2         10.00     66.90903       -25.05967      -1.89683       -0.63407       -0.99279       0.11986        -1.45622       0.00000        0.00000        
1         10.25     -78.67241      45.16511       1.76126        -0.94762       0.84144        0.54036        1.01087        0.00000        0.00000        
2         10.25     66.43483       -25.21819      -1.92511       -0.54217       -0.99216       0.12495        -1.45065       0.00000        0.00000        
1         10.50     -78.23209      44.92821       1.97161        -0.81253       0.83623        0.54838        0.99993        0.00000        0.00000        
2         10.50     65.95355       -25.35373      -1.94691       -0.45774       -0.99156       0.12962        -1.44552       0.00000        0.00000        
1         10.75     -77.73919      44.72507       1.91046        -0.59174       0.83088        0.55646        0.99037        0.00000        0.00000        
2         10.75     65.46683       -25.46817      -1.96347       -0.38051       -0.99099       0.13391        -1.44081       0.00000        0.00000        
1         11.00     -77.26157      44.57714       1.95584        -0.41794       0.82605        0.56360        0.98068        0.00000        0.00000        
2         11.00     64.97596       -25.56329      -1.97582       -0.31008       -0.99045       0.13784        -1.43648       0.00000        0.00000        
1         11.25     -76.77261      44.47266       1.98379        -0.25416       0.82147        0.57026        0.97206        0.00000        0.00000        
2         11.25     64.48200       -25.64081      -1.98481       -0.24604       -0.98995       0.14143        -1.43252       0.00000        0.00000        
1         11.50     -76.27666      44.40911       1.99741        -0.10182       0.81714        0.57644        0.96398        0.00000        0.00000        
2         11.50     63.98580       -25.70232      -1.99115       -0.18793       -0.98947       0.14473        -1.42889       0.00000        0.00000        
1         11.75     -75.77731      44.38366       1.99963        0.03841        0.81308        0.58216        0.95643        0.00000        0.00000        
2         11.75     63.48801       -25.74931      -1.99542       -0.13527       -0.98903       0.14774        -1.42556       0.00000        0.00000        
1         12.00     -75.27740      44.39326       1.99306        0.16643        0.80928        0.58743        0.94942        0.00000        0.00000        
2         12.00     62.98916       -25.78312      -1.99808       -0.08761       -0.98861       0.15050        -1.42251       0.00000        0.00000        
1         12.25     -74.77914      44.43487       1.97994        0.28254        0.80574        0.59227        0.94292        0.00000        0.00000        
2         12.25     62.48964       -25.80503      -1.99950       -0.04451       -0.98822       0.15302        -1.41973       0.00000        0.00000        
1         12.50     -74.28415      44.50550       1.96214        0.38733        0.80245        0.59672        0.93692        0.00000        0.00000        
2         12.50     61.98976       -25.81615      -1.99999       -0.00557       -0.98786       0.15533        -1.41717       0.00000        0.00000        
1         12.75     -73.79362      44.60234       1.94116        0.48154        0.79940        0.60079        0.93139        0.00000        0.00000        
2         12.75     61.48976       -25.81754      -1.99978       0.02960        -0.98753       0.15744        -1.41484       0.00000        0.00000        
1         13.00     -73.30833      44.72272       1.91824        0.56601        0.79659        0.60452        0.92630        0.00000        0.00000        
2         13.00     60.98981       -25.81014      -1.99906       0.06136        -0.98722       0.15938        -1.41270       0.00000        0.00000        
1         13.25     -72.82877      44.86422       1.89430        0.64158        0.79399        0.60793        0.92163        0.00000        0.00000        
2         13.25     60.49005       -25.79480      -1.99797       0.09004        -0.98693       0.16115        -1.41074       0.00000        0.00000        
1         13.50     -72.35519      45.02462       1.87007        0.70911        0.79160        0.61104        0.91735        0.00000        0.00000        
